date,VesselClass,VesselCount,Dispersion
10/03/2016,VLOC,102,6173.630197
11/03/2016,Capesize,668,6144.617837
11/03/2016,VLOC,104,6225.276501
12/03/2016,Capesize,673,6146.01025
12/03/2016,VLOC,104,6311.100918
13/03/2016,Capesize,665,6150.405235
13/03/2016,VLOC,108,6355.327645
14/03/2016,Capesize,652,6157.988082
14/03/2016,VLOC,109,6356.076819
15/03/2016,Capesize,662,6183.497303
15/03/2016,VLOC,107,6325.527117
16/03/2016,Capesize,670,6092.161067
16/03/2016,VLOC,110,6376.847172
17/03/2016,Capesize,661,6085.963683
17/03/2016,VLOC,108,6343.862026
18/03/2016,Capesize,665,6089.964912
18/03/2016,VLOC,107,6308.856531
19/03/2016,Capesize,670,6124.320406
19/03/2016,VLOC,107,6364.005757
20/03/2016,Capesize,669,6099.858424
20/03/2016,VLOC,101,6393.453212
21/03/2016,Capesize,667,6067.723248
21/03/2016,VLOC,100,6334.134756
22/03/2016,Capesize,671,6101.926729
22/03/2016,VLOC,101,6192.734981
23/03/2016,Capesize,675,6116.277364
23/03/2016,VLOC,99,6049.739944
24/03/2016,Capesize,671,6022.649076
24/03/2016,VLOC,99,6165.791674
25/03/2016,Capesize,672,5968.982884
25/03/2016,VLOC,98,6226.229894
26/03/2016,Capesize,667,6041.552097
26/03/2016,VLOC,100,6134.230442
27/03/2016,Capesize,670,5946.696625
27/03/2016,VLOC,101,6127.920497
28/03/2016,Capesize,676,5982.437212
28/03/2016,VLOC,100,6243.456723
29/03/2016,Capesize,663,5956.471859
29/03/2016,VLOC,107,6251.572332
30/03/2016,Capesize,658,5928.292489
30/03/2016,VLOC,105,6196.986295
31/03/2016,Capesize,658,5869.669454
31/03/2016,VLOC,105,6224.129165
01/04/2016,Capesize,650,5839.310176
01/04/2016,VLOC,104,6177.121338
02/04/2016,Capesize,647,5858.725978
02/04/2016,VLOC,102,6210.954599
03/04/2016,Capesize,645,5855.270616
03/04/2016,VLOC,107,6242.090275
04/04/2016,Capesize,646,5850.695254
04/04/2016,VLOC,111,6219.094745
05/04/2016,Capesize,643,5824.081082
05/04/2016,VLOC,111,6100.529447
06/04/2016,Capesize,640,5805.412466
06/04/2016,VLOC,111,6161.702968
07/04/2016,Capesize,637,5830.4449
07/04/2016,VLOC,113,6114.860404
08/04/2016,Capesize,642,5815.593894
08/04/2016,VLOC,114,6089.833108
09/04/2016,Capesize,644,5826.76598
09/04/2016,VLOC,114,6157.289111
10/04/2016,Capesize,641,5903.996188
10/04/2016,VLOC,113,6151.229143
11/04/2016,Capesize,647,5861.44758
11/04/2016,VLOC,114,6184.792552
12/04/2016,Capesize,636,5901.426755
12/04/2016,VLOC,114,6250.610269
13/04/2016,Capesize,640,5951.766657
13/04/2016,VLOC,116,6350.140132
14/04/2016,Capesize,631,6008.547822
14/04/2016,VLOC,114,6390.250748
15/04/2016,Capesize,632,6021.256366
15/04/2016,VLOC,119,6474.550951
16/04/2016,Capesize,636,6054.503774
16/04/2016,VLOC,117,6399.80913
17/04/2016,Capesize,619,6008.545517
17/04/2016,VLOC,116,6414.546763
18/04/2016,Capesize,619,6012.310331
18/04/2016,VLOC,110,6304.857788
19/04/2016,Capesize,614,6067.676227
19/04/2016,VLOC,113,6416.457429
20/04/2016,Capesize,628,6069.074357
20/04/2016,VLOC,112,6489.88561
21/04/2016,Capesize,634,5954.691413
21/04/2016,VLOC,108,6409.53384
22/04/2016,Capesize,640,5944.685475
22/04/2016,VLOC,111,6507.675535
23/04/2016,Capesize,641,5906.356618
23/04/2016,VLOC,108,6524.530153
24/04/2016,Capesize,644,5880.392772
24/04/2016,VLOC,107,6558.848919
25/04/2016,Capesize,638,5786.489188
25/04/2016,VLOC,105,6586.02538
26/04/2016,Capesize,651,5641.863979
26/04/2016,VLOC,103,6655.030995
27/04/2016,Capesize,648,5670.565607
27/04/2016,VLOC,101,6676.134593
28/04/2016,Capesize,654,5605.495333
28/04/2016,VLOC,100,6785.99773
29/04/2016,Capesize,662,5635.697056
29/04/2016,VLOC,100,6758.247863
30/04/2016,Capesize,658,5644.864121
30/04/2016,VLOC,104,6903.125557
01/05/2016,Capesize,657,5616.583279
01/05/2016,VLOC,101,6855.608642
02/05/2016,Capesize,663,5639.519898
02/05/2016,VLOC,101,6826.69277
03/05/2016,Capesize,664,5719.580217
03/05/2016,VLOC,101,6887.97469
04/05/2016,Capesize,658,5747.639369
04/05/2016,VLOC,100,6979.138724
05/05/2016,Capesize,659,5758.879791
05/05/2016,VLOC,101,7040.202642
06/05/2016,Capesize,663,5770.24444
06/05/2016,VLOC,102,6914.274402
07/05/2016,Capesize,665,5751.039253
07/05/2016,VLOC,101,7068.217753
08/05/2016,Capesize,658,5813.53089
08/05/2016,VLOC,101,6860.444563
09/05/2016,Capesize,659,5876.919868
09/05/2016,VLOC,101,6887.258431
10/05/2016,Capesize,657,5824.568005
10/05/2016,VLOC,103,6985.781298
11/05/2016,Capesize,654,5887.29696
11/05/2016,VLOC,103,6939.43539
12/05/2016,Capesize,664,5927.98373
12/05/2016,VLOC,104,6907.90626
13/05/2016,Capesize,660,5934.299448
13/05/2016,VLOC,101,6878.244293
14/05/2016,Capesize,666,5964.524844
14/05/2016,VLOC,101,6793.907086
15/05/2016,Capesize,661,5882.323112
15/05/2016,VLOC,102,6678.866745
16/05/2016,Capesize,655,5918.898337
16/05/2016,VLOC,103,6685.654635
17/05/2016,Capesize,661,5863.721277
17/05/2016,VLOC,99,6478.23916
18/05/2016,Capesize,663,5896.757403
18/05/2016,VLOC,103,6490.852175
19/05/2016,Capesize,664,5934.113458
19/05/2016,VLOC,101,6398.388349
20/05/2016,Capesize,663,5992.911615
20/05/2016,VLOC,101,6339.358566
21/05/2016,Capesize,660,5999.023147
21/05/2016,VLOC,100,6329.984733
22/05/2016,Capesize,665,5970.041869
22/05/2016,VLOC,95,6291.559207
23/05/2016,Capesize,669,5951.010056
23/05/2016,VLOC,93,6175.155096
24/05/2016,Capesize,665,5932.183053
24/05/2016,VLOC,98,6118.862815
25/05/2016,Capesize,672,5924.983936
25/05/2016,VLOC,99,6201.821497
26/05/2016,Capesize,667,5860.746729
26/05/2016,VLOC,98,6055.400872
27/05/2016,Capesize,667,5896.138746
27/05/2016,VLOC,98,6205.242596
28/05/2016,Capesize,664,5864.344626
28/05/2016,VLOC,95,6151.962617
29/05/2016,Capesize,659,5822.373804
29/05/2016,VLOC,102,6203.727494
30/05/2016,Capesize,662,5838.511269
30/05/2016,VLOC,102,6189.691038
31/05/2016,Capesize,650,5837.146874
31/05/2016,VLOC,100,6123.929848
01/06/2016,Capesize,644,5827.825718
01/06/2016,VLOC,98,6122.408132
02/06/2016,Capesize,643,5827.192885
02/06/2016,VLOC,96,6108.180681
03/06/2016,Capesize,640,5931.602493
03/06/2016,VLOC,98,6180.589279
04/06/2016,Capesize,648,5914.003871
04/06/2016,VLOC,102,6284.519006
05/06/2016,Capesize,651,5935.84384
05/06/2016,VLOC,103,6383.893092
06/06/2016,Capesize,643,6051.893474
06/06/2016,VLOC,98,6466.909803
07/06/2016,Capesize,645,6178.780246
07/06/2016,VLOC,100,6319.291537
08/06/2016,Capesize,631,6196.76195
08/06/2016,VLOC,98,6347.233648
09/06/2016,Capesize,638,6270.062035
09/06/2016,VLOC,99,6230.563918
10/06/2016,Capesize,633,6413.826176
10/06/2016,VLOC,101,6279.763024
11/06/2016,Capesize,641,6464.474096
11/06/2016,VLOC,96,6216.197463
12/06/2016,Capesize,641,6552.192554
12/06/2016,VLOC,95,6156.544082
13/06/2016,Capesize,641,6525.848581
13/06/2016,VLOC,96,6281.848248
14/06/2016,Capesize,639,6503.153601
14/06/2016,VLOC,99,6144.88433
15/06/2016,Capesize,634,6527.050206
15/06/2016,VLOC,99,6193.668124
16/06/2016,Capesize,641,6533.942896
16/06/2016,VLOC,101,6298.619738
17/06/2016,Capesize,637,6599.390277
17/06/2016,VLOC,98,6358.989286
18/06/2016,Capesize,644,6663.184564
18/06/2016,VLOC,100,6360.477462
19/06/2016,Capesize,640,6668.417322
19/06/2016,VLOC,99,6285.819205
20/06/2016,Capesize,640,6680.574185
20/06/2016,VLOC,97,6239.308653
21/06/2016,Capesize,640,6634.398207
21/06/2016,VLOC,97,6163.163785
22/06/2016,Capesize,639,6611.102898
22/06/2016,VLOC,96,6210.285086
23/06/2016,Capesize,634,6619.047575
23/06/2016,VLOC,94,6064.592328
24/06/2016,Capesize,632,6612.336892
24/06/2016,VLOC,94,6174.558241
25/06/2016,Capesize,624,6579.097568
25/06/2016,VLOC,92,6000.657347
26/06/2016,Capesize,614,6638.732135
26/06/2016,VLOC,94,6097.7559
27/06/2016,Capesize,624,6576.015385
27/06/2016,VLOC,99,6026.902245
28/06/2016,Capesize,631,6533.500249
28/06/2016,VLOC,96,6012.584178
29/06/2016,Capesize,635,6542.420395
29/06/2016,VLOC,94,6076.151487
30/06/2016,Capesize,622,6493.195309
30/06/2016,VLOC,93,6021.703532
01/07/2016,Capesize,625,6404.153136
01/07/2016,VLOC,99,6036.064942
02/07/2016,Capesize,618,6370.861521
02/07/2016,VLOC,97,6042.789449
03/07/2016,Capesize,621,6295.546879
03/07/2016,VLOC,99,6143.545525
04/07/2016,Capesize,609,6283.247363
04/07/2016,VLOC,98,6094.809904
05/07/2016,Capesize,613,6274.500482
05/07/2016,VLOC,98,6151.579446
06/07/2016,Capesize,608,6231.232456
06/07/2016,VLOC,103,6144.50951
07/07/2016,Capesize,623,6189.974856
07/07/2016,VLOC,104,6223.753869
08/07/2016,Capesize,623,6153.492871
08/07/2016,VLOC,103,6168.753746
09/07/2016,Capesize,632,6112.95088
09/07/2016,VLOC,107,6242.06064
10/07/2016,Capesize,634,6160.157893
10/07/2016,VLOC,108,6246.776857
11/07/2016,Capesize,624,6151.57303
11/07/2016,VLOC,105,6149.04074
12/07/2016,Capesize,620,6099.155279
12/07/2016,VLOC,107,6180.69627
13/07/2016,Capesize,624,6127.231437
13/07/2016,VLOC,102,6071.736934
14/07/2016,Capesize,619,6107.652675
14/07/2016,VLOC,104,5988.559713
15/07/2016,Capesize,625,6126.473482
15/07/2016,VLOC,102,5807.15974
16/07/2016,Capesize,630,5979.568065
16/07/2016,VLOC,104,5944.349538
17/07/2016,Capesize,630,5990.646317
17/07/2016,VLOC,105,6109.848642
18/07/2016,Capesize,633,5897.918254
18/07/2016,VLOC,107,6084.385505
19/07/2016,Capesize,638,5894.277876
19/07/2016,VLOC,105,6208.661219
20/07/2016,Capesize,638,5924.993117
20/07/2016,VLOC,102,5968.949534
21/07/2016,Capesize,637,5869.727674
21/07/2016,VLOC,103,5954.96492
22/07/2016,Capesize,640,5904.534049
22/07/2016,VLOC,106,6095.73067
23/07/2016,Capesize,642,5803.856514
23/07/2016,VLOC,103,5945.017107
24/07/2016,Capesize,644,5719.760131
24/07/2016,VLOC,104,5931.853091
25/07/2016,Capesize,641,5750.061374
25/07/2016,VLOC,103,5853.167662
26/07/2016,Capesize,657,5777.117428
26/07/2016,VLOC,98,5876.099456
27/07/2016,Capesize,663,5796.10999
27/07/2016,VLOC,100,5882.32295
28/07/2016,Capesize,660,5806.227684
28/07/2016,VLOC,99,5845.1369
29/07/2016,Capesize,663,5859.838397
29/07/2016,VLOC,103,5865.547494
30/07/2016,Capesize,653,5875.291892
30/07/2016,VLOC,103,5783.62879
31/07/2016,Capesize,650,5922.645838
31/07/2016,VLOC,108,5925.466099
01/08/2016,Capesize,660,5945.656923
01/08/2016,VLOC,103,5714.70073
02/08/2016,Capesize,663,5985.862798
02/08/2016,VLOC,103,5845.813749
03/08/2016,Capesize,663,5999.208435
03/08/2016,VLOC,104,6026.409531
04/08/2016,Capesize,668,5985.214613
04/08/2016,VLOC,105,6181.93055
05/08/2016,Capesize,666,5988.798629
05/08/2016,VLOC,107,6260.555418
06/08/2016,Capesize,660,6024.540262
06/08/2016,VLOC,112,6293.127275
07/08/2016,Capesize,652,6041.615567
07/08/2016,VLOC,110,6244.743962
